Case,faradaic efficiency of COER,faradaic efficiency of HER,standard reversible reduction potential of COER,standard reversible reduction potential of HER,standard reversible reduction potential of OER,anode density,cathode density,anolyte density,catholyte density,amine molecular weight,relative potential between anode and Ag (V),relative potential between cathode and Ag (V),total current density,E-Ag,cost of cathode material,cost of anode material,anolyte cost,catholyte cost,amine_cost,vapor pressure (bar),electrolyte molecular weight,electrolyte_comp,amine_comp,cation_comp,anion_comp,CO_comp,H2_comp,electrolyte_vcomp,amine_vcomp,cation_vcomp,anion_vcomp,CO_vcomp,H2_vcomp,K_electrolyte,K_amine,CO2 uptake,Carbonate loss
Ag_Water_MEA_Case1,0.0756,0.538210149,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,1.452,-1.712,6.006678294,0.72,1216.84,88266.75,5.30E-01,5.30E-01,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.1088,0.8912,1.014387482,3.45E-03,0.23,0.3
Ag_Water_MEA_Case2,0.0756,0.538210149,-0.22,0,1.23,21.45,10.49,0.997,0.997,61.08,1.452,-2.2307,6.006678294,0.72,1216.84,88266.75,5.30E-01,5.30E-01,0.038,0.0318,18.02,0.985,0.00532,0.00887,0.00887,0,0,0,0,0,0,0.1088,0.8912,1.014387482,3.45E-03,0.23,0.3
Ag_DMSO_MEA_Case3,0.0756,0.538210149,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.7052,-2.2307,6.006678294,0.72,1216.84,88266.75,2662,2662,0.038,0.0008,78.13,0.94623,0.02016,0.0336,0.0336,0,0,0,0,0,0,0.04,0.96,1.63509934,9.24E-01,0.23,0.3
Ag_DMSO_MEA_Case4,0.0756,0.538210149,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.7052,-2.2307,6.006678294,0.72,1216.84,88266.75,2662,2662,0.038,0.0008,78.13,0.94623,0.02016,0.0336,0.0336,0,0,0,0,0,0,0.04,0.96,1.63509934,9.24E-01,1,0.3
Ag_DMSO_MEA_Case5,0.0756,0.538210149,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.7052,-2.2307,6.006678294,0.72,1216.84,88266.75,2662,2662,0.038,0.0008,78.13,0.94623,0.02016,0.0336,0.0336,0,0,0,0,0,0,0.04,0.96,1.63509934,9.24E-01,1,0.02
Ag_DMSO_MEA_Case6,0.648755345,0.254,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.7052,-2.2307,6.006678294,0.72,1216.84,88266.75,2662,2662,0.038,0.0008,78.13,0.90264,0.03016,0.0336,0.0336,0,0,0,0,0,0,0.9,0.1,1.63509934,9.24E-01,1,0.02
Ag_DMSO_MEA_Case7,0.648755345,0.254,-0.22,0,1.23,21.45,10.49,1.1,1.1,61.08,1.7052,-2.2307,10.4527241,0.72,1216.84,88266.75,2662,2662,0.038,0.0008,78.13,0.89264,0.04016,0.0336,0.0336,0,0,0,0,0,0,0.9,0.1,1.63509934,9.24E-01,1,0.02
