current density,FE
16.969697,0.253535
16.969697,0.261616
16.969697,0.269697
16.969697,0.277778
16.969697,0.285859
16.969697,0.293939
16.969697,0.302020
16.969697,0.310101
16.969697,0.318182
16.969697,0.326263
16.969697,0.334343
16.969697,0.342424
16.969697,0.350505
16.969697,0.358586
16.969697,0.366667
16.969697,0.374747
16.969697,0.382828
16.969697,0.390909
16.969697,0.398990
16.969697,0.407071
16.969697,0.415152
16.969697,0.423232
16.969697,0.431313
16.969697,0.439394
16.969697,0.447475
16.969697,0.455556
16.969697,0.463636
16.969697,0.471717
16.969697,0.479798
16.969697,0.487879
16.969697,0.495960
16.969697,0.504040
16.969697,0.512121
16.969697,0.520202
16.969697,0.528283
16.969697,0.536364
16.969697,0.544444
16.969697,0.552525
16.969697,0.560606
16.969697,0.568687
16.969697,0.576768
16.969697,0.584848
16.969697,0.592929
16.969697,0.601010
16.969697,0.609091
16.969697,0.617172
16.969697,0.625253
16.969697,0.633333
16.969697,0.641414
16.969697,0.649495
16.969697,0.657576
16.969697,0.665657
16.969697,0.673737
16.969697,0.681818
16.969697,0.689899
16.969697,0.697980
16.969697,0.706061
16.969697,0.714141
16.969697,0.722222
16.969697,0.730303
16.969697,0.738384
16.969697,0.746465
16.969697,0.754545
16.969697,0.762626
16.969697,0.770707
16.969697,0.778788
16.969697,0.786869
16.969697,0.794949
16.969697,0.803030
16.969697,0.811111
16.969697,0.819192
16.969697,0.827273
16.969697,0.835354
16.969697,0.843434
16.969697,0.851515
16.969697,0.859596
16.969697,0.867677
16.969697,0.875758
16.969697,0.883838
16.969697,0.891919
16.969697,0.900000
20.959596,0.100000
20.959596,0.108081
20.959596,0.116162
20.959596,0.124242
20.959596,0.132323
20.959596,0.140404
20.959596,0.148485
20.959596,0.156566
20.959596,0.164646
20.959596,0.172727
20.959596,0.180808
20.959596,0.188889
20.959596,0.196970
20.959596,0.205051
20.959596,0.213131
20.959596,0.221212
20.959596,0.229293
20.959596,0.237374
20.959596,0.245455
20.959596,0.253535
20.959596,0.261616
20.959596,0.269697
20.959596,0.277778
20.959596,0.285859
20.959596,0.293939
20.959596,0.302020
20.959596,0.310101
20.959596,0.318182
20.959596,0.326263
20.959596,0.334343
20.959596,0.342424
20.959596,0.350505
20.959596,0.358586
20.959596,0.366667
20.959596,0.374747
20.959596,0.382828
20.959596,0.390909
20.959596,0.398990
20.959596,0.407071
20.959596,0.415152
20.959596,0.423232
20.959596,0.431313
20.959596,0.439394
20.959596,0.447475
20.959596,0.455556
20.959596,0.463636
20.959596,0.471717
20.959596,0.479798
20.959596,0.487879
20.959596,0.495960
20.959596,0.504040
20.959596,0.512121
20.959596,0.520202
20.959596,0.528283
20.959596,0.536364
20.959596,0.544444
20.959596,0.552525
20.959596,0.560606
20.959596,0.568687
20.959596,0.576768
20.959596,0.584848
20.959596,0.592929
20.959596,0.601010
20.959596,0.609091
20.959596,0.617172
20.959596,0.625253
20.959596,0.633333
20.959596,0.641414
20.959596,0.649495
20.959596,0.657576
20.959596,0.665657
20.959596,0.673737
20.959596,0.681818
20.959596,0.689899
20.959596,0.697980
20.959596,0.706061
20.959596,0.714141
20.959596,0.722222
20.959596,0.730303
20.959596,0.738384
20.959596,0.746465
20.959596,0.754545
20.959596,0.762626
20.959596,0.770707
20.959596,0.778788
20.959596,0.786869
20.959596,0.794949
20.959596,0.803030
20.959596,0.811111
20.959596,0.819192
20.959596,0.827273
20.959596,0.835354
20.959596,0.843434
20.959596,0.851515
20.959596,0.859596
20.959596,0.867677
20.959596,0.875758
20.959596,0.883838
20.959596,0.891919
20.959596,0.900000
24.949495,0.100000
24.949495,0.108081
24.949495,0.116162
24.949495,0.124242
24.949495,0.132323
24.949495,0.140404
24.949495,0.148485
24.949495,0.156566
24.949495,0.164646
24.949495,0.172727
24.949495,0.180808
24.949495,0.188889
24.949495,0.196970
24.949495,0.205051
24.949495,0.213131
24.949495,0.221212
24.949495,0.229293
24.949495,0.237374
24.949495,0.245455
24.949495,0.253535
24.949495,0.261616
24.949495,0.269697
24.949495,0.277778
24.949495,0.285859
24.949495,0.293939
24.949495,0.302020
24.949495,0.310101
24.949495,0.318182
24.949495,0.326263
24.949495,0.334343
24.949495,0.342424
24.949495,0.350505
24.949495,0.358586
24.949495,0.366667
24.949495,0.374747
24.949495,0.382828
24.949495,0.390909
24.949495,0.398990
24.949495,0.407071
24.949495,0.415152
24.949495,0.423232
24.949495,0.431313
24.949495,0.439394
24.949495,0.447475
24.949495,0.455556
24.949495,0.463636
24.949495,0.471717
24.949495,0.479798
24.949495,0.487879
24.949495,0.495960
24.949495,0.504040
24.949495,0.512121
24.949495,0.520202
24.949495,0.528283
24.949495,0.536364
24.949495,0.544444
24.949495,0.552525
24.949495,0.560606
24.949495,0.568687
24.949495,0.576768
24.949495,0.584848
24.949495,0.592929
24.949495,0.601010
24.949495,0.609091
24.949495,0.617172
24.949495,0.625253
24.949495,0.633333
24.949495,0.641414
24.949495,0.649495
24.949495,0.657576
24.949495,0.665657
24.949495,0.673737
24.949495,0.681818
24.949495,0.689899
24.949495,0.697980
24.949495,0.706061
24.949495,0.714141
24.949495,0.722222
24.949495,0.730303
24.949495,0.738384
24.949495,0.746465
24.949495,0.754545
24.949495,0.762626
24.949495,0.770707
24.949495,0.778788
24.949495,0.786869
24.949495,0.794949
24.949495,0.803030
24.949495,0.811111
24.949495,0.819192
24.949495,0.827273
24.949495,0.835354
24.949495,0.843434
24.949495,0.851515
24.949495,0.859596
24.949495,0.867677
24.949495,0.875758
24.949495,0.883838
24.949495,0.891919
24.949495,0.900000
28.939394,0.100000
28.939394,0.108081
28.939394,0.116162
28.939394,0.124242
28.939394,0.132323
28.939394,0.140404
28.939394,0.148485
28.939394,0.156566
28.939394,0.164646
28.939394,0.172727
28.939394,0.180808
28.939394,0.188889
28.939394,0.196970
28.939394,0.205051
28.939394,0.213131
28.939394,0.221212
28.939394,0.229293
28.939394,0.237374
28.939394,0.245455
28.939394,0.253535
28.939394,0.261616
28.939394,0.269697
28.939394,0.277778
28.939394,0.285859
28.939394,0.293939
28.939394,0.302020
28.939394,0.310101
28.939394,0.318182
28.939394,0.326263
28.939394,0.334343
28.939394,0.342424
28.939394,0.350505
28.939394,0.358586
28.939394,0.366667
28.939394,0.374747
28.939394,0.382828
28.939394,0.390909
28.939394,0.398990
28.939394,0.407071
28.939394,0.415152
28.939394,0.423232
28.939394,0.431313
28.939394,0.439394
28.939394,0.447475
28.939394,0.455556
28.939394,0.463636
28.939394,0.471717
28.939394,0.479798
28.939394,0.487879
28.939394,0.495960
28.939394,0.504040
28.939394,0.512121
28.939394,0.520202
28.939394,0.528283
28.939394,0.536364
28.939394,0.544444
28.939394,0.552525
28.939394,0.560606
28.939394,0.568687
28.939394,0.576768
28.939394,0.584848
28.939394,0.592929
28.939394,0.601010
28.939394,0.609091
28.939394,0.617172
28.939394,0.625253
28.939394,0.633333
28.939394,0.641414
28.939394,0.649495
28.939394,0.657576
28.939394,0.665657
28.939394,0.673737
28.939394,0.681818
28.939394,0.689899
28.939394,0.697980
28.939394,0.706061
28.939394,0.714141
28.939394,0.722222
28.939394,0.730303
28.939394,0.738384
28.939394,0.746465
28.939394,0.754545
28.939394,0.762626
28.939394,0.770707
28.939394,0.778788
28.939394,0.786869
28.939394,0.794949
28.939394,0.803030
28.939394,0.811111
28.939394,0.819192
28.939394,0.827273
28.939394,0.835354
28.939394,0.843434
28.939394,0.851515
28.939394,0.859596
28.939394,0.867677
28.939394,0.875758
28.939394,0.883838
28.939394,0.891919
28.939394,0.900000
32.929293,0.100000
32.929293,0.108081
32.929293,0.116162
32.929293,0.124242
32.929293,0.132323
32.929293,0.140404
32.929293,0.148485
32.929293,0.156566
32.929293,0.164646
32.929293,0.172727
32.929293,0.180808
32.929293,0.188889
32.929293,0.196970
32.929293,0.205051
32.929293,0.213131
32.929293,0.221212
32.929293,0.229293
32.929293,0.237374
32.929293,0.245455
32.929293,0.253535
32.929293,0.261616
32.929293,0.269697
32.929293,0.277778
32.929293,0.285859
32.929293,0.293939
32.929293,0.302020
